지역,온도,습도
강릉,20.4,45
강진군,19.5,40
강화,16.4,58
거제,18.7,48
거창,16.5,52
경주시,19.1,42
고산,18.0,52
고창,17.5,41
고창군,16.8,48
고흥,19.2,38
광양시,19.9,42
광주,18.1,38
구미,17.7,38
군산,16.4,48
금산,15.3,51
김해시,18.7,51
남원,16.6,47
남해,17.9,44
대관령,13.4,55
대구,17.4,47
대전,15.4,49
동두천,14.8,57
동해,19.6,40
목포,16.4,48
문경,17.2,41
밀양,18.4,49
백령도,14.7,73
보령,16.8,50
보성군,19.6,41
보은,14.5,55
봉화,14.2,54
부산,20.8,47
부안,16.7,50
부여,15.9,48
북강릉,19.6,36
북창원,18.7,54
북춘천,11.9,72
산청,16.2,55
상주,17.5,47
서귀포,18.7,62
서산,16.9,50
서울,15.2,55
성산,17.9,63
세종,15.8,49
속초,17.8,53
수원,16.0,47
순창군,17.1,47
순천,18.0,43
안동,14.2,59
양산시,20.0,47
양평,12.7,65
여수,17.1,56
영광군,17.2,43
영덕,18.7,40
영월,11.8,64
영주,13.8,58
영천,17.7,38
완도,18.9,44
울릉도,17.7,69
울산,18.2,50
울진,19.0,38
원주,14.1,53
의령군,18.2,52
의성,15.6,55
이천,14.3,66
인제,13.1,58
인천,14.9,61
임실,16.7,43
장수,15.0,42
장흥,19.3,37
전주,16.7,45
정선군,11.1,67
정읍,15.9,53
제주,19.0,56
제천,12.2,62
진도군,17.8,48
진주,17.8,54
창원,18.0,42
천안,15.0,55
철원,12.8,61
청송군,15.8,55
청주,15.2,51
추풍령,14.6,49
춘천,12.9,68
충주,13.5,61
태백,14.6,40
통영,19.6,53
파주,13.3,63
포항,18.5,48
함양군,17.1,35
합천,17.1,48
해남,18.5,37
홍성,16.2,54
홍천,12.3,61
흑산도,16.8,62
